ID,Área,Perímetro,Diámetro Equivalente,Distancia Máxima al Centro,Distancia Mínima al Centro
26,154.0,45.45584412271571,14.002817212590296,7.660986563689221,0.38113066469685797
27,21.0,14.65685424949238,5.170882945826411,3.3671751485073793,0.5812645531301862
28,28.0,20.485281374238568,5.970821321441846,4.517115975342437,0.6358747790987248
29,19.0,14.035533905932738,4.918490759365935,3.352346513535633,0.2834297266913241
30,556.0,97.84062043356595,26.60678836073137,16.122385725740802,0.4321078256918776
31,16.0,12.65685424949238,4.51351666838205,2.5449091339377916,0.31868871959954903
32,19675.0,2821.805445465132,158.27503922812443,177.76641926470705,0.40075678084611066
33,42582.0,6018.41197284454,232.84562760316695,346.56254890073194,13.609543352330066
34,4474.0,730.1747109368334,75.47498740076158,79.90572374239628,30.178810907465397
35,14449.0,2010.2804461028545,135.63568181668998,162.42347254514618,0.4819879353262214
36,937.0,179.53910524340094,34.54020054106298,38.14745808286202,0.5659862786340242
37,1.0,0.0,1.1283791670955126,0.0,0.0
38,141.0,47.21320343559643,13.398760233979036,8.677959236493063,0.43175124128292497
39,174.0,49.798989873223334,14.884343478431232,9.695797469615666,0.5332453851385748
40,245.0,66.56244584051393,17.66192765414112,12.692360956715687,0.5011274252887445
41,3056.0,383.9898987322333,62.37804139848138,69.2528559432121,0.17521492615128237
42,70.0,29.556349186104043,9.440697438826296,5.675385449465079,0.6403124237432707
43,41.0,23.071067811865476,7.225151993843567,4.663577913255468,0.5567176688055299
44,3.0,1.0,1.9544100476116797,1.0,0.0
45,43991.0,6104.980515339464,236.66660265539062,293.191586635645,0.3666588849442308
46,128.0,44.87005768508881,12.766152972845846,9.487990970497917,0.42216425269082175
47,15.0,11.65685424949238,4.370193722368317,2.183778580554658,0.4853406592853715
48,3.0,3.414213562373095,1.9544100476116797,0.7453559924999511,0.47140452079102496
49,25.0,17.899494936611664,5.641895835477563,3.4176014981270177,0.28284271247464315
50,282.0,101.88225099390856,18.948708441878455,25.032760588094032,0.38696376923986514
51,64.0,42.45584412271571,9.0270333367641,10.063276367565386,0.3801726581436387
52,319.0,100.94112549695427,20.153496341094687,19.332279251530377,0.4412497138040614
53,7373.0,1060.0163773909258,96.88960296818414,82.79156132228931,0.38174875170317507
54,34.0,19.935028842544405,6.579524642479541,4.117752099500541,0.3638034375545132
55,28.0,20.071067811865476,5.970821321441846,4.544704251620102,0.5451549115169521
56,2300.0,318.7766952966369,54.1151637980601,64.62532407146716,0.27879873288692736
57,1897.0,260.8355697996826,49.146062063634396,56.30469316065156,0.23798621731715097
58,42.0,25.970562748477143,7.312732791431452,5.304396413843304,0.5286572216945444
59,2007.0,310.3858223313768,50.550882942669475,54.86710973786018,0.4757497896215631
60,4132.0,602.1564209736038,72.53292906567121,55.53641644493611,24.231923108328573
61,370.0,94.91168824543144,21.70480664627101,16.44418254331592,0.4353365322077284
62,167.0,56.52691193458119,14.581872443920643,12.124033293342382,0.3161767373040436
63,61.0,29.72792206135785,8.812923024107548,6.549011056718096,0.4662774640435383
64,4055.0,620.98484809835,71.85392371959297,62.4561830665086,25.04339920872845
65,1.0,0.0,1.1283791670955126,0.0,0.0
66,399.0,99.63961030678928,22.539356209735228,21.844890016984387,0.2527479144958086
67,4136.0,632.9909447527598,72.5680284769032,71.79841934658234,22.74251345285295
68,65.0,30.14213562373095,9.09728368293446,5.320141476074128,0.522624238506513
69,1.0,0.0,1.1283791670955126,0.0,0.0
70,2220.0,235.45079348883235,53.165701249132994,44.484515959298776,0.4592372718375713
71,42129.0,5149.892024116146,231.6037754013256,313.49917511133293,24.27982073675784
72,4450.0,680.4823227814082,75.27227892173502,63.34526938844533,31.99711726773635
73,1112.0,219.7228714274745,37.62768095093692,44.98459862226001,1.7061288918971729
74,1533.0,206.96551211459382,44.1800432557394,41.61667271085229,0.4760658050169173
75,195.0,83.55634918610404,15.756957549709801,21.87055577095466,0.35544048104954556
76,1839.0,278.5218613006979,48.3889194213713,53.039236351514994,0.24493795275907668
77,14.0,11.414213562373096,4.222008245644752,2.3353975320387623,0.1597191412499995
78,204.0,66.31980515339464,16.11647812414279,14.923006616959317,0.31318887931304107
79,226.0,72.18376618407356,16.96325844612841,15.570456330672197,0.42716879243008543
80,1.0,0.0,1.1283791670955126,0.0,0.0
81,654.0,157.4386001800126,28.856518540128786,33.53944514822575,0.6044244064210215
82,11441.0,1681.5931085813127,120.69438110912618,171.01393644981812,15.470380386722253
83,29923.0,4297.835062185404,195.1900276579474,361.5111629992813,14.521247890778712
84,527.0,90.91168824543142,25.903614421069328,17.100116242122358,0.6478179479740626
85,110.0,38.384776310850235,11.834540545406394,7.309096562639195,0.36329529459431137
86,9.0,8.242640687119284,3.385137501286538,1.6703662642637305,0.3513641844630734
87,46.0,22.48528137423857,7.653039857325812,4.060331870183873,0.47478977538793055
88,19.0,14.48528137423857,4.918490759365935,2.7093763528913786,0.48523918196283744
89,103.0,44.62741699796952,11.451797811161432,10.246513813920478,0.5835751039669306
90,1906.0,274.62236636408613,49.262506759859676,53.0405561590354,0.23239609098606162
91,45.0,23.31370849898476,7.569397566060481,4.879637711708829,0.37973349979193965
92,1.0,0.0,1.1283791670955126,0.0,0.0
93,35612.0,4449.5163030525355,212.93803480615813,263.0945753880797,19.535006737181583
94,916.0,188.82337649086284,34.15095054280933,42.40305326307477,0.10095744997105448
95,48.0,34.10660171779821,7.817640190446719,8.356686029096029,0.2062394778460998
96,5145.0,784.2874093090415,80.93712039393552,80.04300732980379,0.1596584321515978
97,19.0,14.071067811865474,4.918490759365935,2.896650085435217,0.1488645855129616
98,70.0,31.556349186104043,9.440697438826296,6.157209147803507,0.3335033579979713
99,136.0,77.18376618407356,13.159049284959082,20.30324949063309,0.5298711242410451
100,452.0,83.49747468305833,23.98967015655475,15.254970245723236,0.4627279955883757
101,3663.0,673.5117600329311,68.29257977529404,72.24207467456266,32.823759668370286
102,101.0,44.87005768508881,11.340070282773887,8.36832831176325,0.3576711261027566
103,1771.0,244.45079348883235,47.485863514586875,51.73814484970617,0.34097639250889406
104,518.0,124.12489168102785,25.68147355921802,28.94581899656099,0.4207608563961776
105,1856.0,260.9360748630709,48.61206223797199,54.425489728429824,0.30137805351787744
106,1967.0,270.45079348883235,50.04460195159979,52.55664613304653,1.4623682778299376
107,35.0,25.106601717798213,6.6755811781245455,5.627048379869109,0.42185208743530733
108,293.0,86.01219330881975,19.314740138231286,15.984430216369397,0.2343296094713006
109,6162.0,774.613311116846,88.57596781666048,70.98892192204744,2.0486374895699018
110,107.0,44.62741699796952,11.67204486311899,9.368616993209175,0.06803841018013762
111,3481.0,467.00209204105306,66.57437085863525,80.46391936397718,0.4787089657242568
112,1610.0,190.61017305526642,45.27599437918081,41.63238703978868,0.3642379226591989
113,4470.0,512.7005768508881,75.44124047870751,82.3722027725316,8.30274016798391
114,555.0,122.95331880577402,26.582850624566497,26.851091568420685,0.09025210656847468
115,1746.0,274.2497833620557,47.149509489575756,59.44983215322959,0.5537129490921214
116,778.0,161.78174593052023,31.473486711896992,26.064585961388463,0.5438780123693644
117,74.0,31.556349186104047,9.706684619910241,6.104280072881737,0.31634324083026066
118,88.0,36.692388155425114,10.585134856802455,7.351227619973477,0.42060808007559086
119,96.0,38.04163056034262,11.055812783082736,8.565243123049395,0.09603692143014246
120,237.0,85.94112549695427,17.371176474327626,21.473124785132796,0.47527857688873537
121,261.0,79.25483399593904,18.229523339239496,17.94806515126528,0.08127664151574039
122,2954.0,483.7300141024109,61.32821222853044,72.10267058362567,24.508981268912713
123,4294.0,600.3340905032675,73.94112931983652,57.13651852186204,0.2507693533448714
124,2642.0,414.3746750430836,57.99912824508917,72.27992661989873,6.95961495510301
125,397.0,95.88225099390856,22.48279562821002,21.360512360506114,0.665411855991192
126,312.0,91.9827560572969,19.931149940667517,19.954960637892167,0.5843626449857915
127,48.0,27.556349186104047,7.817640190446719,5.77579509918567,0.43947964811939344
128,44.0,23.31370849898476,7.48482063701911,4.4928777429642865,0.43121968093213137
129,3026.0,491.1736649163069,62.07111133505346,98.66476310891184,3.198105461765158
130,1712.0,223.23759005323592,46.68817945247596,45.96808474315441,0.40366544927511855
131,488.0,121.39696961966999,24.926710529686012,25.11017086291092,0.23992917805277553
132,2589.0,407.0132393293463,57.414433562644646,62.808845999436755,20.164239601933186
133,60.0,27.31370849898476,8.740387444736633,5.12640224719046,0.2828427124746833
134,63.0,30.72792206135785,8.95623198216277,6.650698942387475,0.4472699302730847
135,12.0,10.82842712474619,3.9088200952233594,2.556310275029708,0.44876373392797386
136,656.0,106.32590180780451,28.900607975374268,20.419420070541914,0.19514576836352865
137,132.0,51.698484809834994,12.964089628857149,12.404328552981902,0.41279190078253003
138,262.0,67.35533905932738,18.26441241104166,13.960185462943517,0.3620123878283375
139,418.0,99.1543289325507,23.06976657227589,15.888055669297886,0.27612671921584087
140,1677.0,378.0904037956216,46.208470181568096,67.48000724833182,0.40396167239114683
141,2093.0,273.4213562373095,51.62257613806866,52.99354769859481,0.1974423791519106
142,207.0,60.2842712474619,16.23454913941803,11.952471865723146,0.5829618945251626
143,9.0,9.65685424949238,3.385137501286538,2.0757268546966277,0.4444444444443434
144,139.0,44.04163056034261,13.303394180365686,8.044712917896426,0.30250066246951834
145,220.0,64.18376618407356,16.73656774376801,13.367601452580924,0.4492877742964583
146,118.0,39.798989873223334,12.257335203001883,7.523137727305327,0.4169801559369099
147,680.0,163.3380951166243,29.42452872043851,35.43366899371838,0.5668941211872152
148,1114.0,214.03657992645927,37.66150359232848,42.6610017649713,0.1603232603070791
149,35.0,22.242640687119287,6.6755811781245455,4.8115507280047165,0.48655389616934863
150,2482.0,286.5929291125633,56.21548318775419,51.03819407492894,0.11173219602863177
151,2372.0,356.1848122046001,54.95565667073596,61.906023262775776,0.4644888999196363
152,57.0,25.899494936611667,8.51907589177983,4.937903101739372,0.5099804159210065
153,50.0,26.14213562373095,7.978845608028654,5.640567347350715,0.5440588203494244
154,412.0,103.04772721475248,22.903595622322865,22.81765598993705,0.18377809899204742
155,1036.0,163.0893577750951,36.319088209172165,35.00104935528568,0.08842457521701275
156,174.0,60.04163056034261,14.884343478431232,12.997189651206707,0.6750366372426221
157,49.0,25.207106781186546,7.898654169668588,5.042757620075134,0.6067783162169439
158,13.0,10.82842712474619,4.068428945128219,2.3076923076923777,0.30769230769237765
159,55.0,36.48528137423857,8.368283871884005,8.274705058287758,0.2982039903064989
160,32.0,25.071067811865476,6.383076486422923,6.567260178339214,0.5038911092686593
